title,workload,url,school,registered_people,rating,instructor
Curso Orientação a Objetos com C++: trabalhando com herança,8,https://www.alura.com.br/curso-online-c-plus-plus-orientacao-objetos-heranca,Programação,1440,9.4,Vinicius Dias
Curso SQL com MySQL: manipule e consulte dados,12,https://www.alura.com.br/curso-online-mysql-manipule-dados-com-sql,Data Science,57177,9.5,Victorino Vila
Curso Consultas SQL: avançando no SQL com MySQL,14,https://www.alura.com.br/curso-online-mysql-consultas-sql,Data Science,27173,9.5,Victorino Vila
"Curso Oracle Database: projeções, seleções, joins e views",18,https://www.alura.com.br/curso-online-sql-oracle-projecoes-selecoes-joins-views,Data Science,4391,9.6,Victorino Vila
Curso Comandos DML: manipulação de dados com MySQL,10,https://www.alura.com.br/curso-online-mysql-dml-manipulacao-de-dados,Data Science,10077,9.4,Victorino Vila
Curso Procedures SQL: executando código no MySQL,14,https://www.alura.com.br/curso-online-mysql-procedures,Data Science,7628,9.4,Victorino Vila
Curso Administração do MySQL: segurança e otimização do banco,16,https://www.alura.com.br/curso-online-mysql-dba-administracao,Data Science,11437,9.3,Victorino Vila
Curso Modelagem de banco de dados relacional: entendendo SQL,6,https://www.alura.com.br/curso-online-modelagem-banco-dados-relacional-sql,Data Science,14765,9.1,Ana  Duarte
Curso Modelagem de banco de dados relacional: modelagem lógica e física,8,https://www.alura.com.br/curso-online-modelagem-banco-dados-relacional-modelagem-logica-fisica,Data Science,11699,9.0,Daniel Siqueira
Curso MySQL e JSON: persistindo JSON de maneira eficiente,12,https://www.alura.com.br/curso-online-mysql-json-persistencia,Data Science,2338,9.3,Victorino Vila
Curso PostgreSQL,8,https://www.alura.com.br/curso-online-introducao-postgresql-primeiros-passos,Data Science,22283,9.2,Diogo Mascarenhas
"Curso PostgreSQL: Views, Sub-Consultas e Funções",6,https://www.alura.com.br/curso-online-postgresql-views-sub-consultas-funcoes,Data Science,8464,9.4,Vinicius Dias
Curso PostgreSQL: comandos DML e DDL,8,https://www.alura.com.br/curso-online-pgsql-comandos-dml-ddl,Data Science,5215,9.4,Vinicius Dias
Curso PostgreSQL: desenvolva com PL/pgSQL,8,https://www.alura.com.br/curso-online-postgresql-procedures,Data Science,4383,9.4,Vinicius Dias
"Curso PostgreSQL: Triggers, transações, erros e cursores",8,https://www.alura.com.br/curso-online-postgresql-triggers-transacoes-erros-cursores,Data Science,3650,9.3,Vinicius Dias
Curso PostgreSQL: administração e otimização do banco,8,https://www.alura.com.br/curso-online-postgresql-administracao-otimizacao,Data Science,4042,9.2,Vinicius Dias
Curso SQL Server: construção do Data Warehouse,8,https://www.alura.com.br/curso-online-sql-server-construcao-data-warehouse,Data Science,794,9.1,Victorino Vila
Curso Microsoft SQL Server 2022: consultas avançadas,18,https://www.alura.com.br/curso-online-microsoft-sql-server-2022-consultas-avancadas,Data Science,5312,9.5,Victorino Vila
Curso Microsoft SQL Server 2022: manipulando dados,12,https://www.alura.com.br/curso-online-microsoft-sql-server-2022-manipulando-dados,Data Science,2637,9.5,Victorino Vila
Curso Microsoft SQL Server 2022: conhecendo o T-SQL,12,https://www.alura.com.br/curso-online-microsoft-sql-server-2022-conhecendo-t-sql,Data Science,1760,9.4,Victorino Vila
Curso Microsoft SQL Server 2022: performance,10,https://www.alura.com.br/curso-online-microsoft-sql-server-2022-performance,Data Science,999,9.4,Victorino Vila
Curso SQL com Oracle Database: manipule e consulte dados,12,https://www.alura.com.br/curso-online-introducao-sql-oracle-manipule-consulte-dados,Data Science,7932,9.5,Victorino Vila
Curso SQLite online: conhecendo instruções SQL,8,https://www.alura.com.br/curso-online-sqlite-online-conhecendo-instrucoes-sql,Data Science,1559,9.5,Beatriz Magalhães
Curso Oracle Database: manipulando dados com comandos DML,16,https://www.alura.com.br/curso-online-manipulacao-dados-oracle-dml,Data Science,2142,9.5,Victorino Vila
